SegmentNr, Level, Buffer, Unsmooth Second(s)
288, 0, 0, 0
289, 0, 0, 0
290, 0, 0, 0
291, 0, 0, 0
292, 1, 17, 0
293, 1, 18, 0
294, 0, 20, 0
295, 1, 21, 0
296, 1, 22, 0
297, 1, 23, 0
298, 1, 25, 0
AVG Level = 0.632107
AVG Buffer = 19.1304
Unsmooth Secondsr = 4
